Lot Frontage,Lot Area,Overall Qual,Overall Cond,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,Total Bsmt SF,Heating QC,Central Air,Gr Liv Area,Bedroom AbvGr,Kitchen Qual,Fireplaces,Garage Finish,Garage Cars,Garage Qual,Garage Cond,total_bath,total_outdoor_sf,house_age,remod_age,garage_age,qual_cond_interaction,MS SubClass_30,MS SubClass_40,MS SubClass_45,MS SubClass_50,MS SubClass_60,MS SubClass_70,MS SubClass_75,MS SubClass_80,MS SubClass_85,MS SubClass_90,MS SubClass_120,MS SubClass_160,MS SubClass_180,MS SubClass_190,MS Zoning_FV,MS Zoning_I (all),MS Zoning_Other,MS Zoning_RL,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Mas Vnr Type_None,Mas Vnr Type_Other,Mas Vnr Type_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_None,price_tier,SalePrice
34.0,3901,6,5,182.0,4,3,4,3,3,1302.0,5,1,1302,1,4,1,2,2.0,3,3,2.5,160,5,4,5.0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Alto,204000
41.0,5330,8,5,0.0,4,3,4,3,3,1494.0,5,1,1652,2,5,0,2,2.0,3,3,3.0,144,10,10,10.0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Alto,251000
41.0,7132,8,5,178.0,4,3,4,3,2,1370.0,5,1,1370,2,4,1,2,2.0,3,3,2.0,169,4,4,4.0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Alto,205000
72.0,16387,9,5,215.0,4,3,5,4,1,1738.0,4,1,2589,4,5,1,2,3.0,3,3,3.5,0,4,4,4.0,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Alto,412083
60.0,10320,4,1,0.0,2,2,3,2,1,771.0,2,1,1484,3,3,0,1,1.0,3,2,2.0,225,100,60,100.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Baixo,50000
70.0,8737,6,7,0.0,3,3,4,3,1,1065.0,5,1,1635,3,3,1,1,2.0,3,3,1.5,38,87,60,60.0,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Baixo,210000
75.0,9937,5,6,0.0,4,3,3,3,1,1256.0,4,1,1256,3,3,0,3,1.0,3,3,2.5,804,45,45,45.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Baixo,147500
72.0,11235,5,6,0.0,3,3,4,3,3,981.0,3,1,1075,3,4,0,1,2.0,3,3,2.0,64,47,47,14.0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Baixo,148000
107.0,12852,8,5,0.0,4,3,4,3,3,920.0,5,1,1780,3,4,1,3,2.0,3,3,3.5,192,3,3,3.0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Alto,264966
124.0,16158,7,5,16.0,4,3,5,3,3,1530.0,5,1,1530,3,4,1,3,2.0,3,3,3.0,204,5,5,5.0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Alto,260000
86.0,11839,7,5,99.0,3,3,4,3,1,1475.0,5,1,2329,4,4,1,1,2.0,3,3,3.5,313,20,20,20.0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Médio,262280
90.0,9900,6,5,0.0,4,3,3,3,1,1680.0,3,1,1691,2,3,0,1,2.0,4,3,2.0,327,43,43,43.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Médio,175000
47.0,16321,5,6,0.0,3,3,3,3,4,1484.0,3,1,1600,2,3,2,2,1.0,3,3,2.0,546,53,13,53.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Médio,207500
72.0,11327,5,6,305.0,3,3,3,3,3,1064.0,3,1,1064,3,3,1,1,2.0,3,3,1.5,362,43,43,43.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Baixo,153600
