Lot Frontage,Lot Area,Overall Qual,Overall Cond,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,Total Bsmt SF,Heating QC,Central Air,Gr Liv Area,Bedroom AbvGr,Kitchen Qual,Fireplaces,Garage Finish,Garage Cars,Garage Qual,Garage Cond,total_bath,total_outdoor_sf,house_age,remod_age,garage_age,qual_cond_interaction,MS SubClass_30,MS SubClass_40,MS SubClass_45,MS SubClass_50,MS SubClass_60,MS SubClass_70,MS SubClass_75,MS SubClass_80,MS SubClass_85,MS SubClass_90,MS SubClass_120,MS SubClass_160,MS SubClass_180,MS SubClass_190,MS Zoning_FV,MS Zoning_I (all),MS Zoning_Other,MS Zoning_RL,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Mas Vnr Type_None,Mas Vnr Type_Other,Mas Vnr Type_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_None,price_tier,SalePrice
82.0,6270,5,6,0.0,3,3,3,3,1,1001.0,3,0,2002,4,3,0,1,3.0,3,3,2.0,0,61,60,61.0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Médio,145000
65.0,25095,5,8,0.0,3,3,3,3,4,1437.0,5,1,1473,1,5,2,1,1.0,3,3,3.0,48,42,7,42.0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Alto,143000
60.0,8238,6,5,0.0,3,3,3,3,1,813.0,5,1,1525,3,3,1,3,2.0,3,3,3.5,493,13,12,13.0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Médio,183500
35.0,3907,8,5,0.0,4,3,4,3,3,1191.0,4,1,1191,2,4,1,1,2.0,3,3,2.0,193,21,21,21.0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Baixo,162500
43.0,3072,7,5,18.0,4,3,4,3,1,1375.0,5,1,1414,2,4,1,3,2.0,3,3,2.0,164,6,6,6.0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Médio,178740
90.0,9900,6,4,0.0,3,3,3,3,2,1008.0,3,1,2210,5,2,0,1,1.0,2,3,2.0,48,130,60,80.0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Baixo,117500
74.0,8536,5,5,0.0,3,3,4,3,1,1125.0,4,1,1125,2,3,0,1,2.0,3,3,1.5,144,4,3,3.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Baixo,155000
44.0,3842,8,5,174.0,4,3,5,3,4,1594.0,5,1,1646,2,4,1,3,2.0,3,3,3.5,181,6,5,6.0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Médio,275000
63.0,32668,6,3,0.0,4,3,3,3,1,2035.0,3,1,2515,4,3,2,2,2.0,3,3,4.0,200,53,35,35.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Médio,200624
150.0,14137,4,5,98.0,3,3,4,3,3,1200.0,4,1,1200,3,3,0,3,3.0,3,3,2.0,119,46,46,46.0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Médio,173000
70.0,8521,5,5,0.0,3,3,3,3,1,912.0,3,1,912,3,3,1,1,1.0,3,3,1.0,0,43,43,36.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Baixo,125000
100.0,9670,8,6,40.0,3,3,3,2,1,608.0,3,1,1873,4,3,2,3,2.0,2,3,1.5,207,75,60,75.0,48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,Médio,257076
80.0,14000,6,8,0.0,3,4,3,3,1,1092.0,5,1,1152,3,4,1,1,1.0,3,3,1.5,36,60,6,60.0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Médio,158500
96.0,13262,8,5,186.0,4,3,4,3,1,1082.0,5,1,2400,4,4,1,3,3.0,3,3,3.5,154,7,6,7.0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Alto,290000
