Lot Frontage,Lot Area,Overall Qual,Overall Cond,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,Total Bsmt SF,Heating QC,Central Air,Gr Liv Area,Bedroom AbvGr,Kitchen Qual,Fireplaces,Garage Finish,Garage Cars,Garage Qual,Garage Cond,total_bath,total_outdoor_sf,house_age,remod_age,garage_age,qual_cond_interaction,MS SubClass_30,MS SubClass_40,MS SubClass_45,MS SubClass_50,MS SubClass_60,MS SubClass_70,MS SubClass_75,MS SubClass_80,MS SubClass_85,MS SubClass_90,MS SubClass_120,MS SubClass_160,MS SubClass_180,MS SubClass_190,MS Zoning_FV,MS Zoning_I (all),MS Zoning_Other,MS Zoning_RL,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Mas Vnr Type_None,Mas Vnr Type_Other,Mas Vnr Type_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_None,price_tier,SalePrice
83.0,10005,7,5,299.0,3,3,4,3,1,1160.0,5,1,2022,4,3,1,3,2.0,3,3,2.5,405,33,33,33.0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Alto,192000
66.0,14364,7,5,128.0,4,3,4,3,4,1157.0,5,1,2062,3,3,1,3,2.0,3,3,3.5,115,22,21,22.0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Médio,277000
75.0,9000,8,5,0.0,4,3,4,3,3,1088.0,5,1,1959,3,4,1,2,3.0,3,3,2.5,254,4,4,4.0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Alto,270000
90.0,11250,7,5,227.0,3,3,4,3,2,1054.0,5,1,1939,3,4,1,2,3.0,3,3,3.0,212,12,12,12.0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Alto,227000
60.0,8172,4,6,0.0,3,3,3,3,1,941.0,5,1,1470,4,3,0,1,1.0,3,3,2.0,0,56,38,52.0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Baixo,135000
149.0,19958,6,8,1224.0,3,4,3,3,1,585.0,4,1,2279,4,4,1,2,2.0,3,3,2.5,274,52,15,52.0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Alto,257000
100.0,21750,5,5,0.0,3,3,3,3,1,988.0,5,1,988,2,3,0,2,2.0,3,3,1.0,0,56,56,56.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Médio,113000
66.0,8738,7,5,302.0,4,3,4,3,1,975.0,5,1,2291,4,4,1,3,2.0,3,3,2.5,192,11,11,11.0,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Médio,230000
60.0,12900,4,4,0.0,3,3,4,3,3,1198.0,3,1,1258,0,3,0,1,2.0,2,3,3.0,120,41,41,41.0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,Baixo,108959
65.0,10237,6,5,0.0,4,3,4,3,1,1316.0,5,1,1316,3,4,1,3,2.0,3,3,2.0,100,5,4,5.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Médio,169990
50.0,8660,5,6,0.0,3,3,3,3,1,760.0,5,0,2168,5,4,0,1,2.0,3,3,2.0,705,110,17,12.0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Baixo,123000
60.0,4800,5,4,0.0,3,3,2,3,1,672.0,3,1,672,2,3,0,1,1.0,3,3,1.0,0,70,60,60.0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Baixo,64000
40.0,5664,8,5,0.0,4,3,4,3,1,1501.0,5,1,1659,2,5,1,3,2.0,3,3,3.0,271,10,10,10.0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Alto,278000
63.0,17597,7,9,0.0,4,4,4,3,1,1803.0,3,1,2365,3,5,2,3,2.0,3,3,3.0,344,39,1,39.0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Médio,315000
136.0,11675,8,5,495.0,4,3,4,3,3,1982.0,5,1,2006,2,4,1,3,3.0,3,3,3.0,177,12,12,12.0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Alto,350000
70.0,18044,8,5,0.0,4,3,4,3,1,279.0,4,1,2726,2,4,1,3,2.0,4,4,2.5,449,24,24,24.0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Médio,315000
71.0,8838,5,3,0.0,3,3,0,0,0,0.0,4,1,1764,4,3,1,3,1.0,3,3,2.5,72,53,28,53.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Médio,100000
38.0,14963,8,5,0.0,4,3,4,3,1,1260.0,5,1,1288,1,5,2,3,2.0,3,3,2.5,150,14,14,14.0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Alto,245500
125.0,10000,5,6,272.0,3,3,3,3,3,1058.0,5,1,1370,3,3,1,2,1.0,3,3,2.0,191,54,54,54.0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Médio,148000
51.0,8029,6,5,0.0,3,3,4,3,1,728.0,5,1,1456,3,4,0,3,2.0,3,3,2.5,124,5,5,5.0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Médio,176000
96.0,13132,5,5,0.0,3,3,4,3,2,747.0,4,1,1784,4,3,0,1,1.0,2,2,1.5,243,96,60,96.0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Médio,138887
68.0,9571,5,3,0.0,3,2,3,2,1,1276.0,3,1,1276,3,3,0,1,1.0,3,3,1.0,0,52,52,52.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Baixo,60000
80.0,11600,4,5,0.0,3,3,2,3,1,700.0,5,1,1180,2,2,1,1,1.0,3,2,1.0,67,88,60,88.0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Médio,137500
80.0,9600,6,5,238.0,3,3,3,3,1,1416.0,3,1,1644,3,3,2,3,2.0,3,3,2.0,110,57,57,57.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,Médio,167000
60.0,7200,7,5,0.0,4,3,4,4,1,1293.0,5,1,1301,2,4,1,2,2.0,3,3,3.0,337,4,4,4.0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Alto,187750
85.0,9187,9,5,162.0,5,3,5,3,2,1766.0,5,1,1766,2,5,1,3,3.0,3,3,3.5,325,1,1,1.0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Alto,370878
85.0,15300,5,5,0.0,3,3,3,3,1,1068.0,3,1,1264,2,3,1,1,2.0,3,3,2.0,0,45,33,45.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Médio,169000
55.0,7301,7,6,176.0,4,3,4,3,1,1350.0,5,1,1358,2,4,1,2,2.0,3,3,3.0,218,3,2,2.0,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Alto,217300
80.0,9156,6,7,0.0,3,3,3,3,1,1489.0,4,1,1489,3,4,1,2,2.0,3,3,2.0,0,42,42,42.0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Médio,185750
60.0,9600,5,6,264.0,3,3,3,3,1,1212.0,4,1,1668,3,3,0,1,1.0,3,3,2.0,140,62,60,62.0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,Baixo,135000
21.0,1484,4,4,0.0,3,3,3,3,1,546.0,3,1,1092,3,3,0,1,1.0,3,2,1.5,0,38,38,38.0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Baixo,79400
45.0,8248,4,4,0.0,3,3,3,3,1,864.0,3,0,1414,3,3,1,0,0.0,0,0,1.0,112,88,60,88.0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Baixo,83000
71.0,3830,6,5,280.0,4,3,4,3,1,1726.0,5,1,1726,2,4,1,3,2.0,3,3,2.5,254,2,2,2.0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Alto,222000
21.0,1680,5,5,492.0,3,3,3,3,1,525.0,3,1,1092,3,3,0,1,1.0,3,3,1.5,0,39,39,13.0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Baixo,105500
85.0,10200,6,5,440.0,3,3,3,3,1,1434.0,3,1,1434,4,3,1,2,2.0,3,3,3.0,101,36,36,36.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Médio,157000
80.0,1700,7,5,0.0,4,3,4,3,2,430.0,3,1,1700,2,4,0,3,1.0,4,3,3.5,224,30,29,30.0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Alto,148400
63.0,11426,7,5,0.0,3,3,4,3,1,1362.0,5,1,2082,3,4,0,1,2.0,3,3,2.5,518,7,7,7.0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,Baixo,200000
65.0,6285,6,6,0.0,3,2,3,3,3,960.0,3,1,1044,3,3,1,1,2.0,3,2,2.0,228,34,34,34.0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Baixo,133500
62.0,8010,6,9,0.0,4,4,3,3,2,951.0,4,1,951,2,4,0,1,2.0,3,3,2.0,42,52,3,25.0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,Médio,143500
50.0,5925,4,7,435.0,3,3,2,3,1,907.0,3,1,1131,2,3,0,1,2.0,3,3,1.0,72,73,10,15.0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Baixo,89471
67.0,8777,4,6,0.0,3,4,4,3,1,676.0,4,1,1436,3,3,0,1,2.0,3,3,3.0,147,100,10,60.0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Baixo,98000
70.0,7700,6,5,351.0,3,3,3,3,1,756.0,3,1,1839,4,3,1,1,2.0,3,3,1.5,340,44,44,44.0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Médio,155000
87.0,11084,7,5,0.0,4,3,4,3,1,384.0,5,1,1374,3,4,1,3,2.0,3,3,3.5,100,6,6,6.0,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Médio,175000
70.0,11075,5,4,232.0,3,3,3,3,3,784.0,5,1,1968,4,3,1,2,2.0,3,3,3.0,494,41,41,41.0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Médio,172000
